participantId,trialId,trialOrder,responseId,status,percentComplete,instruction,responsePrompt,answer,correct_answer,error,mean_error
080a29f9-a401-4597-af0c-4bd077803ee6,Blue 1,3.0,html-response,completed,100.00,What percentage is the lighter value relative to the darker one?,Answer:,44,46,1.0874628412503393,3.3691938791392646
080a29f9-a401-4597-af0c-4bd077803ee6,Blue 2,6.0,html-response,completed,100.00,What percentage is the lighter value relative to the darker one?,Answer:,13,5,3.0223678130284544,4.132400092125464
080a29f9-a401-4597-af0c-4bd077803ee6,Blue 3,7.0,html-response,completed,100.00,What percentage is the lighter value relative to the darker one?,Answer:,55,67,3.599912842187128,4.152744234570052
080a29f9-a401-4597-af0c-4bd077803ee6,Blue 4,9.0,html-response,completed,100.00,What percentage is the lighter value relative to the darker one?,Answer:,31,41,3.3398500028846247,3.4032881201403895
080a29f9-a401-4597-af0c-4bd077803ee6,Green 1,11.0,html-response,completed,100.00,What percentage is the lighter value relative to the darker one?,Answer:,11,12,0.16992500144231237,4.079713725937726
080a29f9-a401-4597-af0c-4bd077803ee6,Green 2,13.0,html-response,completed,100.00,What percentage is the lighter value relative to the darker one?,Answer:,57,42,3.9188632372745946,3.466562667370662
080a29f9-a401-4597-af0c-4bd077803ee6,Green 3,12.0,html-response,completed,100.00,What percentage is the lighter value relative to the darker one?,Answer:,9,25,4.011227255423254,4.454508118030326
080a29f9-a401-4597-af0c-4bd077803ee6,Green 4,10.0,html-response,completed,100.00,What percentage is the lighter value relative to the darker one?,Answer:,35,31,2.0443941193584534,3.207433672212154
080a29f9-a401-4597-af0c-4bd077803ee6,Red 1,5.0,html-response,completed,100.00,What percentage is the lighter value relative to the darker one?,Answer:,28,31,1.6438561897747246,3.728495003107183
080a29f9-a401-4597-af0c-4bd077803ee6,Red 2,8.0,html-response,completed,100.00,What percentage is the lighter value relative to the darker one?,Answer:,68,47,4.400879436282184,3.516033896357667
080a29f9-a401-4597-af0c-4bd077803ee6,Red 3,2.0,html-response,completed,100.00,What percentage is the lighter value relative to the darker one?,Answer:,25,44,4.257387842692652,3.5157113011573813
080a29f9-a401-4597-af0c-4bd077803ee6,Red 4,4.0,html-response,completed,100.00,What percentage is the lighter value relative to the darker one?,Answer:,24,25,0.16992500144231237,3.380873320374649
08561dda-a96d-4a38-aabb-a00d4ff55819,Blue 1,4.0,html-response,completed,100.00,What is the difference in shade of the two dots marked with black?,Answer:,40,46,2.6147098441152083,3.3691938791392646
08561dda-a96d-4a38-aabb-a00d4ff55819,Blue 2,3.0,html-response,completed,100.00,What is the difference in shade of the two dots marked with black?,Answer:,85,5,6.324180546618741,4.132400092125464
08561dda-a96d-4a38-aabb-a00d4ff55819,Blue 3,8.0,html-response,completed,100.00,What is the difference in shade of the two dots marked with black?,Answer:,30,67,5.2143191208007655,4.152744234570052
08561dda-a96d-4a38-aabb-a00d4ff55819,Blue 4,9.0,html-response,completed,100.00,What is the difference in shade of the two dots marked with black?,Answer:,50,41,3.189824558880017,3.4032881201403895
